Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ERI,1.532995431,2.844671522,3.413827587,4.075541524,4.052964648,2.452082437,1.693404671,1.587113192,2.684305178,2.565436957,2.04894665,1.883303605,1.393980561,1.336750621,0.817492474,0.497672572,0.754064581,0.935971649,1.415949601,1.539273546,1.617399943,1.796101337,1.74475946,1.74549258
ESP,0.447137015,0.694068084,1.412595405,1.808454468,1.725466303,1.689349047,1.690352556,1.851081308,1.595330499,0.885735981,0.460408305,0.355338396,0.064925963,-0.32766904,-0.298951059,-0.077588862,0.08443015,0.234587923,0.437982994,0.717715637,0.488502132,0.105799194,0.761701877,1.23763541
EST,0.483707162,-0.636963124,-0.633433796,-0.627622448,-0.59782051,-0.572255525,-0.58965556,-0.456188535,-0.26813372,-0.192768077,-0.228057969,-0.303582824,-0.357944411,-0.355891803,-0.262256175,0.06555253,0.029112226,0.121070631,0.348039138,0.371554389,0.197559185,0.105996956,1.336551511,1.277941597
ETH,2.958805189,2.921271059,2.932969913,2.905907704,2.872414027,2.839622994,2.826729323,2.851543841,2.838631602,2.803575935,2.820981863,2.850296778,2.827656243,2.749620707,2.705428113,2.695393167,2.716053972,2.721331426,2.673321021,2.656010133,2.654859156,2.604319283,2.542089203,2.518779054
EUU,0.119792808,0.132221958,0.229815701,0.356620012,0.375805315,0.354898003,0.324716649,0.336192687,0.321138461,0.236948273,0.140162305,-0.177299846,0.147512641,0.243827264,0.249764419,0.218367449,0.212647701,0.157067514,0.176129821,0.081899351,0.072674976,-0.114860582,0.043038334,0.470823794
FCS,2.248731906,2.252533901,2.459375287,2.523439914,2.426453708,2.430968257,2.422438622,2.358735948,2.407997327,2.491193028,2.487807847,2.447440449,2.459187464,2.446447907,2.341499071,2.267340546,2.265576416,2.250484001,2.216323611,2.25069376,2.293148907,2.248453108,1.724253773,2.311589106
FIN,0.207606515,0.227687342,0.24238105,0.23845724,0.290350362,0.342248594,0.383777136,0.425429832,0.465549285,0.478246393,0.457494535,0.463558707,0.475809487,0.460723773,0.413560208,0.329383886,0.287421402,0.234670532,0.132641041,0.11019169,0.143641197,0.207288594,0.271944527,0.50551391
FJI,1.097520514,1.05280544,1.013601896,0.98525733,0.972529404,0.944990918,0.928331144,0.853009376,0.680664088,0.517432196,0.419141607,0.351360476,0.29723878,0.262426487,0.23039759,0.178965106,0.127589743,0.070534838,-0.0025027,-0.057797147,0.21284622,0.453976646,0.55609146,0.708309568
FRA,0.686782587,0.72943079,0.728746207,0.71044809,0.735098068,0.749918325,0.693706612,0.616493932,0.557563758,0.513102876,0.492821126,0.482694782,0.48395349,0.516539661,0.468246342,0.35556924,0.263868789,0.290202116,0.358494582,0.341374143,0.271350508,0.285508619,0.305015247,0.292221086
FRO,1.005918478,1.27307089,1.220759212,1.229249596,1.251837989,0.627338991,0.045546769,0.09930282,0.103335685,0.037174722,-0.039240389,-0.049588827,0.012399512,0.053713461,0.097024253,0.721624003,1.39145416,1.463978819,1.433043252,1.414731885,1.410260077,0.900256783,0.379320886,0.338473433
FSM,0.152297026,0.213720197,0.039296241,-0.167115773,-0.328790001,-0.447886781,-0.577652223,-0.69962484,-0.758815203,-0.77203346,-0.259914003,0.277526573,0.319268822,0.347720569,0.381376448,0.400941559,0.4220858,0.458352099,0.450852096,0.404844283,0.650605244,0.9101587,0.908957181,0.92420488
GAB,2.559793886,2.609543216,2.651379537,2.698746996,2.769763122,2.868813028,2.984529936,3.095609773,3.18807653,3.292977463,3.421970687,3.525161878,3.5582226,3.505157393,3.341104101,3.086916384,2.804212109,2.555918598,2.391355225,2.289855365,2.195637043,2.097988103,2.021687102,1.971815131
GBR,0.357300887,0.38497597,0.42333708,0.465641114,0.568943113,0.686611306,0.735048678,0.778666112,0.787032622,0.75639086,0.783888647,0.781506562,0.695353132,0.669740536,0.736463979,0.792367506,0.757874493,0.679374474,0.605929132,0.564131113,0.365758264,-0.081937241,1.134448245,0.82121204
GEO,-1.944629157,-1.551238397,-0.897253673,-0.675365806,-0.61926241,-0.635292218,-0.568484712,-0.521646734,-0.303790529,-0.888185043,-0.729475257,-0.80216404,-0.736565519,-0.300972141,0.0469539,0.157481405,0.059816599,0.013386075,-0.039036546,-0.17156574,0.068656249,-0.379636607,0.104889951,1.280998431
GHA,2.516518739,2.659768689,2.748379917,2.714432821,2.66890927,2.65989488,2.639161462,2.605463786,2.572327222,2.53550492,2.469996167,2.43818163,2.46059584,2.452427256,2.407644892,2.364269759,2.339383259,2.234945429,2.122679766,2.088931184,2.066268801,2.00774487,1.938982944,1.911701717
GIB,0.165957178,-0.072121456,0.614966065,1.455723036,1.4557319,1.517196596,1.470865099,1.372896377,1.331277734,1.375456613,1.427191957,1.394492365,1.437521818,0.777442704,0.126420318,0.209321015,0.138280732,0.113554419,0.140996192,0.113265896,0.073401233,-0.122365337,-0.061238864,0.119381069
GIN,1.963136385,1.29599678,1.55168556,2.241748134,2.129239418,1.978667795,2.062914279,2.293355724,2.40819421,2.43976227,2.458278464,2.471311108,2.448752998,2.442316141,2.482932008,2.549276719,2.589500041,2.563493813,2.533442442,2.537647078,2.512250121,2.444317219,2.390914134,2.362117347
GMB,2.896423343,2.87370974,2.850204529,2.851693005,2.892651602,2.942405204,3.021054494,3.083458975,3.104985972,3.113648511,3.101160241,3.097043423,3.0945314,3.051205871,2.974334485,2.886819384,2.804045746,2.723485349,2.641376345,2.582686766,2.56215325,2.52879318,2.472147488,2.452177565
GNB,2.000211927,2.132601582,2.225601466,2.304691466,2.35534586,2.398892761,2.461141531,2.547103956,2.57645836,2.571082925,2.586997493,2.632008434,2.679716679,2.688501174,2.647941932,2.582649543,2.51887832,2.437890936,2.372337148,2.33629047,2.276453357,2.202589246,2.152839304,2.127507878
GNQ,4.470575159,4.885154773,4.730806748,4.608419017,4.539539683,4.538823047,4.598402177,4.68160681,4.750080739,4.780036591,4.756088762,4.472518136,4.195936394,4.128045467,4.036743237,3.920785477,3.784566151,3.633654843,3.481607477,3.335036794,2.732269498,2.378494519,2.44420929,2.346298708
